Title,Latitude,Longitude
New York,40.7128,-74.0060
Los Angeles,34.0549,-118.2426
Chicago,41.8781,-87.6298
Houston,29.7604,-95.3698
Phoenix,33.4484,-112.0740
Philadelphia,39.9526,-75.1652
San Antonio,29.4252,-98.4946
San Diego,32.7157,-117.1611
Dallas,32.7767,-96.7970
Austin,30.2672,-97.7431
Nashville,36.1627,-86.7816
El Paso,31.7619,-106.4850
Washington D.C.,38.9072,-77.0369
Las Vegas,36.1716,-115.1391
Boston,42.3601,-71.0589
Portland,45.5152,-122.6784
Louisville,38.2527,-85.7585
Memphis,35.1495,-90.0490
Detroit,42.3314,-83.0458
Baltimore,39.2904,-76.6122
Raleigh,35.7796,-78.6382
Virginia Beach,36.8516,-75.9792
Long Beach,33.7701,-118.1937
Miami,25.7617,-80.1918
Oakland,37.8044,-122.2712
Minneapolis,44.9778,-93.2650
Tulsa,36.1540,-95.9928
Bakersfield,35.3733,-119.0187
Tampa,27.9517,-82.4588
Wichita,37.6872,-97.3301
Corpus Christi,27.8006,-97.3964
Orlando,28.5384,-81.3789
Irvine,33.6846,-117.8265
Cincinnati,39.1031,-84.5120
Santa Ana,33.7455,-117.8677
Newark,40.7357,-74.1724
St. Paul,44.9537,-93.0900
Pittsburgh,40.4406,-79.9959
Greensboro,36.0726,-79.7920
Lincoln,40.8136,-96.7026
Reno,39.5299,-119.8143
Madison,43.0722,-89.4008
Fort Wayne,41.0793,-85.1394
Toledo,41.6528,-83.5379
Lubbock,33.5846,-101.8456
St. Petersburg,27.7671,-82.6384
Laredo,27.5036,-99.5076
Irving,32.8140,-96.9489
Chesapeake,36.7682,-76.2875
Glendale,33.5387,-112.1860
Tacoma,47.2529,-122.4443
Baton Rouge,30.4515,-91.1871
Santa Clarita,34.3917,-118.5426
San Bernardino,34.1083,-117.2898
Hialeah,25.8576,-80.2781
Frisco,33.1507,-96.8236
Modesto,37.6393,-120.9970
Cape Coral,26.5629,-81.9495
Fontana,34.0922,-117.4350
Moreno Valley,33.9425,-117.2297
